id,value
Trinity.Christian.School,
Trinity.Christian.School.Communication,
Trinity.Christian.School.Communication.cluster,
Trinity.Christian.School.Communication.cluster.AgglomerativeCluster,3938
Trinity.Christian.School.Communication.cluster.CommunityStructure,3812
Trinity.Christian.School.Communication.cluster.HierarchicalCluster,6714
Trinity.Christian.School.Communication.cluster.MergeEdge,743
Trinity.Christian.School.Communication.graph,
Trinity.Christian.School.Communication.graph.BetweennessCentrality,3534
Trinity.Christian.School.Communication.graph.LinkDistance,5731
Trinity.Christian.School.Communication.graph.MaxFlowMinCut,7840
Trinity.Christian.School.Communication.graph.ShortestPaths,5914
Trinity.Christian.School.Communication.graph.SpanningTree,3416
Trinity.Christian.School.Communication.optimization,
Trinity.Christian.School.Communication.optimization.AspectRatioBanker,7074
Trinity.Christian.School.learning_management,
Trinity.Christian.School.learning_management.Easing,17010
Trinity.Christian.School.learning_management.FunctionSequence,5842
Trinity.Christian.School.learning_management.interpolate,
Trinity.Christian.School.learning_management.interpolate.ArrayInterpolator,1983
Trinity.Christian.School.learning_management.interpolate.ColorInterpolator,2047
Trinity.Christian.School.learning_management.interpolate.DateInterpolator,1375
Trinity.Christian.School.learning_management.interpolate.Interpolator,8746
Trinity.Christian.School.learning_management.interpolate.MatrixInterpolator,2202
Trinity.Christian.School.learning_management.interpolate.NumberInterpolator,1382
Trinity.Christian.School.learning_management.interpolate.ObjectInterpolator,1629
Trinity.Christian.School.learning_management.interpolate.PointInterpolator,1675
Trinity.Christian.School.learning_management.interpolate.RectangleInterpolator,2042
Trinity.Christian.School.learning_management.ISchedulable,1041
Trinity.Christian.School.learning_management.Parallel,5176
Trinity.Christian.School.learning_management.Pause,449
Trinity.Christian.School.learning_management.Scheduler,5593
Trinity.Christian.School.learning_management.Sequence,5534
Trinity.Christian.School.learning_management.Transition,9201
Trinity.Christian.School.learning_management.Transitioner,19975
Trinity.Christian.School.learning_management.TransitionEvent,1116
Trinity.Christian.School.learning_management.Tween,6006
Trinity.Christian.School.classroom_management,
Trinity.Christian.School.classroom_management.converters,
Trinity.Christian.School.classroom_management.converters.Converters,721
Trinity.Christian.School.classroom_management.converters.DelimitedTextConverter,4294
Trinity.Christian.School.classroom_management.converters.GraphMLConverter,9800
Trinity.Christian.School.classroom_management.converters.Iclassroom_managementConverter,1314
Trinity.Christian.School.classroom_management.converters.JSONConverter,2220
Trinity.Christian.School.classroom_management.classroom_managementField,1759
Trinity.Christian.School.classroom_management.classroom_managementSchema,2165
Trinity.Christian.School.classroom_management.classroom_managementSet,586
Trinity.Christian.School.classroom_management.classroom_managementSource,3331
Trinity.Christian.School.classroom_management.classroom_managementTable,772
Trinity.Christian.School.classroom_management.classroom_managementUtil,3322
Trinity.Christian.School.assessment,
Trinity.Christian.School.assessment.DirtySprite,8833
Trinity.Christian.School.assessment.LineSprite,1732
Trinity.Christian.School.assessment.RectSprite,3623
Trinity.Christian.School.assessment.TextSprite,10066
Trinity.Christian.School.student_administration,
Trinity.Christian.School.student_administration.DragForce,1082
Trinity.Christian.School.student_administration.GravityForce,1336
Trinity.Christian.School.student_administration.IForce,319
Trinity.Christian.School.student_administration.NBodyForce,10498
Trinity.Christian.School.student_administration.Particle,2822
Trinity.Christian.School.student_administration.Simulation,9983
Trinity.Christian.School.student_administration.Spring,2213
Trinity.Christian.School.student_administration.SpringForce,1681
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
